image,labels,n_objects,split,contains_top
aMVuQOaJCuRC0Trb49PW2g,"['warning--falling-rocks-or-debris-right--g2', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'complementary--chevron-left--g1']",6,test,"['other-sign', 'complementary--chevron-left--g1']"
aQQQRdMy4yj1f3KMi_4RiA,"['regulatory--no-parking--g1', 'regulatory--text-four-lines--g1', 'other-sign', 'regulatory--text-four-lines--g1', 'regulatory--road-closed-to-vehicles--g1']",5,train,['other-sign']
aUs4p4bzgkFIt0G5Lijg9Q,"['other-sign', 'other-sign', 'regulatory--roundabout--g1', 'other-sign', 'regulatory--pass-on-either-side--g1', 'other-sign', 'regulatory--pass-on-either-side--g1', 'regulatory--no-entry--g1', 'regulatory--yield--g1', 'regulatory--no-entry--g1', 'regulatory--pass-on-either-side--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--roundabout--g1']",19,val,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
aXatBvhRINPcn71__h8hlg,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-straight--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'regulatory--one-way-straight--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'regulatory--turn-right-ahead--g1', 'information--pedestrians-crossing--g1', 'information--parking--g1', 'information--pedestrians-crossing--g1', 'regulatory--priority-road--g4', 'regulatory--pass-on-either-side--g1', 'other-sign', 'regulatory--one-way-straight--g1']",21,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
aXubpbVAKV-A7PA7_v0K-A,"['regulatory--yield--g1', 'regulatory--no-entry--g1', 'other-sign']",3,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
aadXn8MH70-Kir22vqWg2A,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--one-way-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--turn-right--g1', 'warning--curve-left--g1', 'regulatory--pass-on-either-side--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",19,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
acYXN1l-QC61dwsta-p6Tw,"['regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1']",4,train,"['other-sign', 'regulatory--no-entry--g1']"
aeMGqvbDFiSegEl9HS7rKA,"['regulatory--maximum-speed-limit-50--g1', 'other-sign', 'regulatory--roundabout--g1', 'regulatory--no-entry--g1', 'regulatory--yield--g1', 'other-sign']",6,val,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
aeexSvXKXqWwGLpeHEaaHA,"['complementary--maximum-speed-limit-55--g1', 'warning--curve-left--g2', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",5,test,"['other-sign', 'complementary--chevron-left--g1']"
amRV3RY3h5rXEIZYjivDdg,"['warning--falling-rocks-or-debris-right--g2', 'warning--curve-left--g2', 'warning--slippery-road-surface--g2', 'complementary--chevron-left--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,test,"['other-sign', 'complementary--chevron-left--g1']"
azutVPA2XYEhEM4vs3kZeA,"['other-sign', 'other-sign', 'other-sign']",3,test,['other-sign']
b0M5C2i3g41unnTajCzrjA,"['other-sign', 'other-sign', 'warning--pedestrians-crossing--g1', 'other-sign', 'regulatory--yield--g1']",5,train,"['other-sign', 'regulatory--yield--g1']"
bCkgmCzBJzngXkvoMluS8Q,"['regulatory--yield--g1', 'regulatory--end-of-priority-road--g1', 'other-sign']",3,val,"['other-sign', 'regulatory--yield--g1']"
bDsjol2K7oIqLT0SkGxdLg,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--priority-road--g4', 'information--pedestrians-crossing--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'regulatory--one-way-straight--g1', 'information--pedestrians-crossing--g1', 'regulatory--priority-over-oncoming-vehicles--g1', 'regulatory--height-limit--g1', 'regulatory--maximum-speed-limit-30--g1', 'regulatory--shared-path-bicycles-and-pedestrians--g1', 'regulatory--bicycles-only--g1', 'other-sign', 'other-sign', 'other-sign']",18,train,"['other-sign', 'information--pedestrians-crossing--g1']"
bGNzb0EcgH_pU97iSoPQeg,"['other-sign', 'regulatory--turn-right--g1', 'other-sign', 'other-sign', 'regulatory--shared-path-pedestrians-and-bicycles--g1', 'regulatory--yield--g1', 'regulatory--priority-road--g4', 'complementary--go-right--g1', 'other-sign', 'regulatory--shared-path-pedestrians-and-bicycles--g1']",10,train,"['other-sign', 'regulatory--yield--g1']"
bJTChApZ8phUXSTe7j1D9g,"['information--parking--g1', 'other-sign', 'other-sign']",3,train,['other-sign']
bNni-g_Yu3HK9dIsm_uQbg,"['other-sign', 'information--pedestrians-crossing--g1', 'regulatory--priority-road--g4']",3,train,"['other-sign', 'information--pedestrians-crossing--g1']"
bNrBB0dzKOUNGlVK4NAsBA,"['warning--roadworks--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--roundabout--g1', 'other-sign', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1']"
bNw8OnJqOtZaerm5CxYRFA,"['warning--pass-left-or-right--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign']",10,train,"['other-sign', 'regulatory--yield--g1']"
bULe1-OBzkJEmGiTA8ie9Q,"['other-sign', 'regulatory--yield--g1', 'regulatory--roundabout--g1', 'other-sign', 'other-sign']",5,val,"['other-sign', 'regulatory--yield--g1']"
bb9uWcYclYUyu6qZzBWMqA,"['other-sign', 'warning--crossroads--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",5,train,"['other-sign', 'information--pedestrians-crossing--g1']"
beqtUfQaUceUC84RluoKXg,"['regulatory--yield--g1', 'regulatory--end-of-priority-road--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'information--tram-bus-stop--g2']",8,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
bhB_OoJv6BSMBJNLWo44BA,"['regulatory--end-of-bicycles-only--g1', 'regulatory--yield--g1', 'regulatory--yield--g1', 'regulatory--maximum-speed-limit-40--g1', 'information--pedestrians-crossing--g1']",5,train,"['regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
blw6v6oseDXdXSuNPoF1bg,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,train,['complementary--chevron-left--g1']
bmuTjWTr5PlV_9OBrcpDuQ,"['regulatory--end-of-bicycles-only--g1', 'regulatory--keep-right--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'regulatory--keep-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,train,"['other-sign', 'information--pedestrians-crossing--g1']"
bp5vynlUzSQn5z2RXBUqiw,"['regulatory--yield--g1', 'regulatory--no-parking--g1', 'other-sign', 'other-sign', 'other-sign']",5,train,"['other-sign', 'regulatory--yield--g1']"
bs_AleeM5xO7ACaAlWunzw,"['regulatory--maximum-speed-limit-30--g1', 'warning--junction-with-a-side-road-perpendicular-left--g1', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",10,val,"['other-sign', 'regulatory--yield--g1']"
bxtFdA0i8LIzahzCtjo6oA,"['regulatory--priority-road--g4', 'regulatory--no-heavy-goods-vehicles--g1', 'regulatory--no-entry--g1', 'regulatory--keep-right--g1', 'information--parking--g1', 'other-sign']",6,test,"['other-sign', 'regulatory--no-entry--g1']"
bzKYcAr5BOBleLrAOWkA9Q,"['information--pedestrians-crossing--g1', 'information--parking--g2', 'regulatory--no-parking--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'information--pedestrians-crossing--g1']"
bzd_eglBslqtvLhFiuOIPA,"['other-sign', 'other-sign', 'other-sign', 'other-sign']",4,train,['other-sign']
bzoc2MvWiWNVgh6Rstg0Kw,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",4,val,['complementary--chevron-left--g1']
c1Vo5rXrSnJ6oeH6jrBLhA,"['regulatory--yield--g1', 'warning--pedestrians-crossing--g4', 'regulatory--turn-left--g3', 'other-sign', 'other-sign']",5,train,"['other-sign', 'regulatory--yield--g1']"
c3F_SYnlYW8u2XnPTYO4wA,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--road-closed-to-vehicles--g3', 'regulatory--no-parking--g1', 'regulatory--end-of-speed-limit-zone--g1', 'regulatory--road-closed-to-vehicles--g3', 'regulatory--end-of-maximum-speed-limit-30--g2', 'regulatory--no-parking--g1', 'other-sign', 'other-sign']",17,val,"['other-sign', 'information--pedestrians-crossing--g1']"
cAXgbXqeqHJ9MPzOYZu0yg,"['other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--one-way-right--g1', 'other-sign', 'other-sign', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",13,train,"['other-sign', 'regulatory--no-entry--g1']"
cDSjzFGv4fVOf7Nqo7U7EA,"['regulatory--maximum-speed-limit-40--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'warning--children--g1', 'regulatory--no-stopping--g15', 'regulatory--weight-limit--g1', 'regulatory--no-parking--g1', 'warning--uneven-road--g6', 'regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'other-sign']",24,train,"['other-sign', 'information--pedestrians-crossing--g1']"
cFMTkd2_ofTOLHipxTWkvg,"['regulatory--maximum-speed-limit-60--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'complementary--go-right--g2', 'other-sign', 'other-sign', 'other-sign', 'warning--traffic-signals--g1', 'complementary--go-right--g2', 'regulatory--maximum-speed-limit-60--g1', 'other-sign', 'other-sign']",19,test,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
cQ3duLY3iau4m7HcIFSq7A,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",3,val,"['other-sign', 'information--pedestrians-crossing--g1']"
cTwOvjzALiROJOCQGYzqIg,"['regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'information--food--g2', 'other-sign', 'other-sign']",7,val,"['other-sign', 'regulatory--yield--g1']"
cUBvq_mHOi9Y0sHwMJa9rQ,"['regulatory--yield--g1', 'regulatory--stop--g1', 'warning--railroad-crossing-without-barriers--g3', 'warning--railroad-crossing-without-barriers--g3', 'other-sign', 'other-sign', 'other-sign']",7,val,"['other-sign', 'regulatory--yield--g1']"
cdOgByPd_nyokcrcpl93mg,"['complementary--maximum-speed-limit-55--g1', 'complementary--chevron-left--g1', 'warning--curve-left--g2', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",7,train,"['other-sign', 'complementary--chevron-left--g1']"
cfl1srKlQRK-_ji6nY8EGg,"['other-sign', 'other-sign', 'other-sign']",3,train,['other-sign']
cmagjjvyLTT-dolMPiYwWA,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--go-left--g1', 'complementary--go-left--g1', 'complementary--obstacle-delineator--g2', 'other-sign', 'complementary--go-right--g1', 'other-sign']",11,train,['other-sign']
cmjeFJGi8YxmGHO5Jsnr3Q,"['other-sign', 'warning--double-curve-first-right--g2', 'other-sign']",3,train,['other-sign']
cn8_RFIsoCY3OON-L2bkDA,"['warning--road-bump--g1', 'information--parking--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign']",6,train,"['other-sign', 'information--pedestrians-crossing--g1']"
cppgvQ9EO3woEjjoqCZ7XQ,"['other-sign', 'other-sign', 'regulatory--no-entry--g1', 'regulatory--one-way-right--g1', 'regulatory--maximum-speed-limit-40--g1', 'other-sign']",6,train,"['other-sign', 'regulatory--no-entry--g1']"
cqwsOtQfuCzEYyjASt5Xdw,"['regulatory--maximum-speed-limit-40--g1', 'information--road-bump--g1', 'other-sign', 'other-sign', 'other-sign', 'information--parking--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--road-bump--g1', 'regulatory--no-stopping--g15', 'complementary--distance--g1', 'warning--children--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'information--road-bump--g1', 'warning--two-way-traffic--g1', 'warning--road-bump--g1', 'regulatory--yield--g1', 'other-sign', 'other-sign']",23,train,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
cymqUhYstnfDHCuG-UEf-w,"['warning--railroad-crossing-without-barriers--g4', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'warning--railroad-crossing--g4']",5,train,"['other-sign', 'regulatory--yield--g1']"
dANlZO_c9uI3-K4nzs_a7w,"['regulatory--stop--g1', 'complementary--extent-of-prohibition-area-both-direction--g1', 'complementary--go-left--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign']",12,train,"['other-sign', 'regulatory--no-entry--g1']"
dA_GCsccp2pbbiXC8qOgTA,"['other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign']",6,train,"['other-sign', 'complementary--chevron-left--g1']"
dAoBrerJfnFNU5cosLRbPw,"['regulatory--keep-right--g1', 'regulatory--no-stopping--g15', 'information--pedestrians-crossing--g1', 'regulatory--priority-road--g4', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'information--parking--g1', 'other-sign', 'other-sign', 'information--parking--g1']",15,train,"['other-sign', 'information--pedestrians-crossing--g1']"
dE8zCokveIOXBnWrsdynEA,"['regulatory--maximum-speed-limit-40--g1', 'warning--road-bump--g1', 'information--pedestrians-crossing--g1', 'regulatory--no-stopping--g15', 'information--living-street--g1', 'other-sign', 'other-sign', 'complementary--tow-away-zone--g1', 'other-sign']",9,train,"['other-sign', 'information--pedestrians-crossing--g1']"
dFfdwkdgUfdDeHdjPY2k1Q,"['regulatory--stop--g1', 'regulatory--stop--g1', 'regulatory--stop--g1', 'regulatory--yield--g1', 'regulatory--turn-left-ahead--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",15,train,"['other-sign', 'regulatory--yield--g1']"
dJOPnuFssa5I6j0KD9ngWQ,"['other-sign', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",10,train,"['other-sign', 'complementary--chevron-left--g1']"
dJWXQSPEq0xTRT5Zt-oyag,"['regulatory--maximum-speed-limit-80--g1', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g1', 'other-sign', 'complementary--chevron-left--g5', 'other-sign', 'warning--curve-left--g2', 'other-sign']",13,train,"['other-sign', 'complementary--chevron-left--g1']"
dSNzB1v56VH61kz720GsZw,"['regulatory--maximum-speed-limit-80--g1', 'other-sign', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1']",11,train,"['other-sign', 'complementary--chevron-left--g1']"
dTEwBv0vgQWD-yrxhgvySw,"['complementary--maximum-speed-limit-55--g1', 'complementary--chevron-left--g1', 'complementary--chevron-right--g1', 'warning--curve-right--g2', 'other-sign']",5,train,"['other-sign', 'complementary--chevron-left--g1']"
dUoWP1dpU_iwKVsKz7nOug,"['other-sign', 'regulatory--no-overtaking--g1', 'complementary--except-bicycles--g1', 'regulatory--no-entry--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--no-overtaking--g1', 'other-sign']",8,train,"['other-sign', 'regulatory--no-entry--g1']"
db8drsWydSitUo3g1j27pw,"['regulatory--priority-road--g4', 'regulatory--priority-road--g4', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'regulatory--road-closed-to-vehicles--g3', 'other-sign', 'information--parking--g5', 'regulatory--mopeds-and-bicycles-only--g1', 'other-sign', 'regulatory--turn-left--g1', 'other-sign', 'information--parking--g1', 'regulatory--keep-right--g1', 'other-sign', 'other-sign']",23,test,"['other-sign', 'regulatory--yield--g1']"
dcQROvHdmmT5s2Nsvys1Vg,"['regulatory--yield--g1', 'regulatory--mopeds-and-bicycles-only--g1', 'regulatory--end-of-speed-limit-zone--g1']",3,test,['regulatory--yield--g1']
dhmHYrEjpkfRx-9-7m-51g,"['other-sign', 'regulatory--maximum-speed-limit-30--g1', 'regulatory--road-closed--g1', 'other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'other-sign']",9,train,"['other-sign', 'regulatory--no-entry--g1']"
dnB8VIG40Tw7exEKu0GD5g,"['other-sign', 'other-sign', 'regulatory--no-entry--g1', 'other-sign', 'other-sign', 'regulatory--stop--g1', 'complementary--go-right--g2', 'regulatory--stop--g1', 'other-sign', 'regulatory--keep-right--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--go-straight--g1', 'other-sign', 'regulatory--go-straight--g1', 'other-sign', 'other-sign']",17,train,"['other-sign', 'regulatory--no-entry--g1']"
do7GGr6gJZzIKAnGvwc0AQ,"['information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'regulatory--yield--g1', 'other-sign', 'other-sign']",6,val,"['other-sign', 'regulatory--yield--g1', 'information--pedestrians-crossing--g1']"
doSj8nFYTt3oNPEE9r0QyA,"['complementary--chevron-left--g1', 'complementary--chevron-right--g1', 'other-sign']",3,train,"['other-sign', 'complementary--chevron-left--g1']"
duBnAcwE7OwFtAeqoutZ6g,"['regulatory--one-way-straight--g1', 'other-sign', 'regulatory--no-entry--g1']",3,val,"['other-sign', 'regulatory--no-entry--g1']"
dvvsW1_ryxPlAlptQqMb9g,"['complementary--maximum-speed-limit-45--g1', 'warning--slippery-road-surface--g2', 'warning--curve-left--g2', 'regulatory--no-entry--g1', 'warning--turn-right--g1', 'other-sign', 'other-sign']",7,train,"['other-sign', 'regulatory--no-entry--g1']"
dxThs9yxgy9niItYWTHMdg,"['other-sign', 'warning--texts--g2', 'other-sign', 'other-sign', 'other-sign', 'regulatory--keep-right--g4', 'regulatory--no-entry--g1', 'other-sign']",8,val,"['other-sign', 'regulatory--no-entry--g1']"
dzZfbnzjWoXaE3KU4DWycg,"['information--pedestrians-crossing--g1', 'regulatory--no-stopping--g15', 'other-sign', 'other-sign', 'other-sign']",5,test,"['other-sign', 'information--pedestrians-crossing--g1']"
e0pP0B5VY8N5q8r-Lmj3Xw,"['information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'complementary--chevron-right--g5', 'complementary--chevron-right--g5', 'regulatory--one-way-right--g1']",14,val,"['other-sign', 'information--pedestrians-crossing--g1']"
e12_GGvlIUwt02t4J7oKrA,"['other-sign', 'regulatory--no-left-turn--g1', 'regulatory--no-heavy-goods-vehicles--g1', 'regulatory--no-entry--g1', 'other-sign', 'regulatory--yield--g1', 'regulatory--no-u-turn--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",11,train,"['other-sign', 'regulatory--yield--g1', 'regulatory--no-entry--g1']"
e4NkNQZ36d45Guy6lJniEg,"['regulatory--yield--g1', 'other-sign', 'other-sign']",3,train,"['other-sign', 'regulatory--yield--g1']"
e6A1jIVvM29CjKv_4n0DXQ,"['warning--road-bump--g1', 'regulatory--maximum-speed-limit-20--g1', 'information--road-bump--g1', 'information--pedestrians-crossing--g1', 'complementary--distance--g1', 'other-sign', 'information--pedestrians-crossing--g1', 'information--tram-bus-stop--g2', 'information--tram-bus-stop--g2']",9,train,"['other-sign', 'information--pedestrians-crossing--g1']"
e9y7GFxrCSvoQJa_DaOrXw,"['complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'warning--curve-left--g2', 'complementary--chevron-left--g1', 'complementary--chevron-left--g1', 'other-sign', 'warning--junction-with-a-side-road-acute-right--g1', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign', 'other-sign']",15,train,"['other-sign', 'complementary--chevron-left--g1']"
eB3f85xKiPZLvq8Is8GpRQ,"['complementary--chevron-left--g5', 'complementary--chevron-left--g5', 'complementary--chevron-left--g5', 'other-sign', 'other-sign']",5,train,['other-sign']
ePTdlcq9cTKLQHiio_XDRQ,"['warning--road-bump--g1', 'information--pedestrians-crossing--g1', 'information--pedestrians-crossing--g1', 'regulatory--maximum-speed-limit-40--g1', 'other-sign', 'other-sign']",6,train,"['other-sign', 'information--pedestrians-crossing--g1']"
